Chun Jiang Hua Yue Ye 
Zhang Ruo Xu 
Chun Jiang Chao Shui Lian Hai Ping ,Hai Shang Ming Yue Gong Chao Sheng . 
Yan Yan Sui Bo Qian Mo Li ,He Chu Chun Jiang Wu Yue Ming ?
Jiang Liu Wan Zhuan Rao Fang Dian ,Yue Zhao Hua Lin Jie Si Xian . 
Kong Li Liu Shuang Bu Jue Fei ,Ting Shang Bai Sha Kan Bu Jian . 
Jiang Tian [?] Se Wu Xian Chen ,Jiao Jiao Kong Zhong Gu Yue Lun . 
Jiang Pan He Ren Chu Jian Yue ,Jiang Yue He Nian Chu Zhao Ren ?
Ren Sheng Dai Dai Wu Qiong Yi ,Jiang Yue Nian Nian Zhi Xiang Si . 
Bu Zhi Jiang Yue Dai He Ren ?Dan Jian Chang Jiang Song Liu Shui . 
Bai Yun [?] Pian Qu You You ,Qing Feng Pu Shang Bu Sheng Chou . 
Shui Jia Jin Ye Bian Zhou Zi ,He Chu Xiang Si Ming Yue Lou ?
Ke Lian Lou Shang Yue Pai Huai ,Ying Zhao Chi Ren Zhuang Jing Tai . 
Yu Hu Lian Zhong Juan Bu Qu ,Dao Yi Zhen Shang Fu Huan Lai . 
Ci Shi Xiang Wang Bu Xiang Wen ,Yuan Zhu Yue Hua Liu Zhao Jun . 
Hong Yan Chang Fei Guang Bu Du ,Yu Long Qian Yue Shui Cheng Wen . 
Zuo Ye Xian Tan Meng Luo Hua ,Ke Lian Chun Ban Bu Huan Jia . 
Jiang Shui Liu Chun Qu Yu Jin ,Jiang Tan Luo Yue Fu Xi Xie . 
Xie Yue Chen Chen Cang Hai Wu ,Jie Shi Xiao Xiang Wu Xian Lu . 
Bu Zhi Cheng Yue Ji Ren Gui ,Luo Yue Yao Qing Man Jiang Shu . 
Chang Hen Ge 
Bai Ju Yi 
Yi Huang Zhong Se Si Qing Guo ,Yu Yu Duo Nian Qiu Bu De . 
Yang Jia You Nu Chu Chang Cheng ,Yang Zai Shen Gui Ren Wei Shi . 
Tian Sheng Li Zhi Nan Zi Qi ,[?] Zhao Xuan Zai Jun Wang Ce . 
Hui Mou [?] Xiao Bai Mei Sheng ,Liu Gong Fen Dai Wu Yan Se . 
Chun Han Si Yu Hua Qing Chi ,Wen Quan Shui Hua Xi Ning Zhi . 
Shi Er Fu Qi Jiao Wu Li ,Shi Shi Xin Cheng En Ze Shi . 
Yun Bin Hua Yan Jin Bu Yao ,Fu Rong Zhang Nuan Du Chun Xiao . 
Chun Xiao Ku Duan Ri Gao Qi ,Cong Ci Jun Wang Bu Zao Zhao . 
Cheng Huan Shi Yan Wu Xian Xia ,Chun Cong Chun You Ye Zhuan Ye . 
Hou Gong Jia Li San Qian Ren ,San Qian Chong Ai Zai [?] Shen . 
Jin Wu Zhuang Cheng Jiao Shi Ye ,Yu Lou Yan Ba Zui He Chun . 
Zi Mei Di Xiong Jie Lie Tu ,Ke Lian Guang Cai Sheng Men Hu . 
Sui Ling Tian Xia Fu Mu Xin ,Bu Zhong Sheng Nan Zhong Sheng Nu . 
Li Gong Gao Chu Ru Qing Yun ,Xian Le Feng Piao Chu Chu Wen . 
Huan Ge Man Wu Ning Si Zhu ,Jin Ri Jun Wang Kan Bu Zu . 
Yu Yang Pi Gu Dong Di Lai ,Liang Po Ni Chang Yu Yi Qu . 
Jiu Zhong Cheng Que Yan Chen Sheng ,Qian Cheng Mo Qi Xi Nan Xing . 
Cui Hua Yao Yao Xing Fu Zhi ,Xi Chu Du Men Bai Yu Li . 
Liu Jun Bu Fa Wu Nai He ,Wan Zhuan E Mei Ma Qian Si . 
Hua Dian Wei Di Wu Ren Shou ,Cui Qiao Jin Que Yu Sao Tou . 
Jun Wang Yan Mian Jiu Bu De ,Hui Kan Xie Lei Xiang He Liu . 
Huang Ai San Man Feng Xiao Suo ,Yun Zhan Ying Yu Deng Jian Ge . 
E Mei Shan Xia Shao Ren Xing ,Jing Qi Wu Guang Ri Se Bo . 
Shu Jiang Shui Bi Shu Shan Qing ,Sheng Zhu Zhao Zhao Mu Mu Qing . 
Xing Gong Jian Yue Shang Xin Se ,Ye Yu Wen Ling Chang Duan Sheng . 
Tian Xuan Di Zhuan Hui Long Yu ,Dao Ci Chou Chu Bu Neng Qu . 
Ma Wei Po Xia Ni Tu Zhong ,Bu Jian Yu Yan Kong Si Chu . 
Jun Chen Xiang Gu Jin Zhan Yi ,Dong Wang Du Men Xin Ma Gui . 
Gui Lai Chi Yuan Jie Yi Jiu ,Tai Ye Fu Rong Wei Yang Liu . 
Fu Rong Ru Mian Liu Ru Mei ,Dui Ci Ru He Bu Lei Chui . 
Chun Feng Tao Li Hua Kai Ri ,Qiu Yu Wu Tong Xie Luo Shi . 
Xi Gong Nan Nei Duo Qiu Cao ,Luo Xie Man Jie Hong Bu Sao . 
Li Yuan Di Zi Bai Fa Xin ,Jiao Fang A Jian Qing E Lao . 
Xi Dian Ying Fei Si Qiao Ran ,Gu Deng Tiao Jin Wei Cheng Mian . 
Chi Chi Zhong Gu Chu Chang Ye ,Geng Geng Xing He Yu Shu Tian . 
Yuan Yang Wa Leng Shuang Hua Zhong ,Fei Cui Qin Han Shui Yu Gong . 
You You Sheng Si Bie Jing Nian ,Hun Po Bu Ceng Lai Ru Meng . 
Lin Qiong Dao Shi Hong Du Ke ,Neng Yi Jing Cheng Zhi Hun Po . 
Wei Gan Jun Wang Zhan Zhuan Si ,Sui Jiao Fang Shi Yin Qin Mi . 
Pai Yun Yu Qi Ben Ru Dian ,Sheng Tian Ru Di Qiu Zhi Bian . 
Shang Qiong Bi Luo Xia Huang Quan ,Liang Chu Mang Mang Jie Bu Jian . 
Hu Wen Hai Shang You Xian Shan ,Shan Zai Xu Wu Piao Miao Jian . 
Lou Ge Ling Long Wu Yun Qi ,Qi Zhong Chuo Yue Duo Xian Zi . 
Zhong You [?] Ren Zi Tai Zhen ,Xue Fu Hua Mao Can Chai Shi . 
Jin Que Xi Xiang Kou Yu Jiong ,Zhuan Jiao Xiao Yu Bao Shuang Cheng . 
Wen Dao Yi Jia Tian Zi Shi ,Jiu Hua Zhang Li Meng Hun Liang . 
Lan Yi Tui Zhen Qi Pai Huai ,Zhu Bo Yin Ping Yi Li Kai . 
Yun Ji Ban Pian Xin Shui Jue ,Hua Guan Bu Zheng Xia Tang Lai . 
Feng Chui Xian Mei Piao Piao Ju ,You Si Ni Chang Yu Yi Wu . 
Yu Rong Ji Mo Lei Lan Gan ,Li Hua [?] Zhi Chun Dai Yu . 
Han Qing Ning Di Xie Jun Wang ,[?] Bie Yin Rong Liang Miao Mang . 
Zhao Yang Dian Li En Ai Jue ,Peng Lai Gong Zhong Ri Yue Chang . 
Hui Tou Xia Wang Ren Huan Chu ,Bu Jian Chang An Jian Chen Wu . 
Wei Jiang Jiu Wu Biao Shen Qing ,Dian He Jin Chai Ji Jiang Qu . 
Chai Liu [?] Gu He [?] Shan ,Chai Bo Huang Jin He Fen Dian . 
Dan Jiao Xin Si Jin Dian Jian ,Tian Shang Ren Jian Hui Xiang Jian . 
Lin Bie Yin Qin Zhong Ji Ci ,Ci Zhong You Shi Liang Xin Zhi . 
Qi Yue Qi Ri Chang Sheng Dian ,Ye Ban Wu Ren Si Yu Shi . 
Zai Tian Yuan Zuo Bi Yi Niao ,Zai Di Yuan Wei Lian Li Zhi . 
Tian Chang Di Jiu You Shi Jin ,Ci Hen Mian Mian Wu Jue Qi !
